"date","load"
2011-01-01,4713.42237760824
2011-01-02,4449.68656119385
2011-01-03,4394.27975681508
2011-01-04,4727.50744855252
2011-01-05,4185.64673884535
2011-01-06,3699.25871105684
2011-01-07,3684.14634128893
2011-01-08,3576.01030831365
2011-01-09,4402.69563812739
2011-01-10,4476.23347094128
2011-01-11,4315.43539668026
2011-01-12,4014.06541326738
2011-01-13,3763.31920922797
2011-01-14,3778.06167457402
2011-01-15,5761.43269752993
2011-01-16,5941.6485284317
2011-01-17,5845.27095856687
2011-01-18,4493.69535894439
2011-01-19,4782.57460963911
2011-01-20,5909.42672049347
2011-01-21,6650.41469983812
2011-01-22,5322.76057097535
2011-01-23,4653.97638027182
2011-01-24,5250.7583765436
2011-01-25,5350.18272172031
2011-01-26,6933.75218272168
2011-01-27,6046.75438286059
2011-01-28,5078.23593050236
2011-01-29,4745.22665422397
2011-01-30,6363.91854449616
2011-01-31,6234.92732985475
2011-02-01,6627.89806118103
2011-02-02,5668.7528486041
2011-02-03,5603.6311776394
2011-02-04,6576.04102857703
2011-02-05,6827.21522160739
2011-02-06,5977.6674384415
2011-02-07,6024.26278671345
2011-02-08,5384.97518931794
2011-02-09,4237.21603851906
2011-02-10,4918.10151866777
2011-02-11,6720.40865408788
2011-02-12,6434.43711526299
2011-02-13,4482.6140743748
2011-02-14,5113.0321332338
2011-02-15,5008.24369095406
2011-02-16,5136.65875074351
2011-02-17,5722.19634790875
2011-02-18,6221.69031864989
2011-02-19,6188.2810415761
2011-02-20,5551.70307498588
2011-02-21,5565.93378104712
2011-02-22,5277.24149983503
2011-02-23,5466.2819542051
2011-02-24,5950.20482414548
2011-02-25,5894.85757024045
2011-02-26,6194.96558850364
2011-02-27,5810.81785983077
2011-02-28,5042.01171803147
