"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
5375.31185417484,4709.33007781732,6041.29363053236,4356.78062132035,6393.84308702933
5709.21875654657,4750.7520888873,6667.68542420585,4243.37048363998,7175.06702945317
5817.00335914062,4752.8232238979,6881.18349438335,4189.48028928088,7444.52642900037
5810.39832438159,4688.62562826204,6932.17102050115,4094.79503353749,7526.0016152257
5814.87253752999,4647.76106104372,6981.98401401627,4029.9295657781,7599.81550928188
5755.97722610117,4544.23793334856,6967.71651885379,3902.78189920233,7609.17255300002
5706.7114152379,4435.26947337729,6978.15335709852,3762.20876588762,7651.21406458819
5715.88991642503,4374.5574953094,7057.22233754065,3664.49900296978,7767.28082988027
5741.05998033935,4334.6859495256,7147.43401115309,3590.19650882854,7891.92345185015
5754.31736331938,4291.52689273093,7217.10783390784,3517.17239282932,7991.46233380944
5757.82022498338,4244.48590794635,7271.15454202041,3443.37511196083,8072.26533800593
5752.92895534408,4191.857604635,7314.00030605316,3365.47634949682,8140.38156119134
5745.0109339644,4136.53565005917,7353.48621786963,3285.06026850881,8204.96159941999
5741.61651782829,4085.35711302921,7397.87592262736,3208.58634585668,8274.6466897999
5743.14911389299,4039.6454999406,7446.65272784539,3137.8651591567,8348.43306862928
5745.89845515093,3996.64980079575,7495.14710950611,3070.65349839855,8421.14341190331
5747.60335277721,3954.32764736683,7540.8790581876,3005.02483198129,8490.18187357314
5747.74671715047,3911.87889069935,7583.61454360159,2940.02916839078,8555.46426591016
5746.85633956828,3869.41742498583,7624.29525415073,2875.5612979272,8618.15138120936
5745.97802444367,3827.70791715788,7664.24813172946,2812.23706232935,8679.71898655799
5745.72164954673,3787.3032372264,7704.14006186706,2750.57915352332,8740.86414557014
5745.96080144739,3748.14249382756,7743.77910906723,2690.56136543199,8801.3602374628
5746.30298223705,3709.88269708367,7782.72326739044,2631.8669161461,8860.739048328
5746.48433338109,3672.24127818807,7820.72738857411,2574.2033322393,8918.76533452287
5746.45909213148,3635.10591326808,7857.81227099488,2517.42305450792,8975.49512975505
5746.33494831519,3598.51129651097,7894.15860011942,2461.52213558169,9031.1477610487
5746.2398132067,3562.5346512477,7929.94497516571,2406.55096621516,9085.92866019824
5746.2236714242,3527.2005373847,7965.24680546371,2352.52064728533,9139.92669556308
5746.26041448357,3492.46882131546,8000.05200765168,2299.38362073437,9193.13720823277
5746.30182465428,3458.27535424708,8034.32829506148,2247.06730437439,9245.53634493418
5746.31879141275,3424.568886854,8068.06869597151,2195.50872930598,9297.12885351953
5746.31118235579,3391.32377950514,8101.29858520643,2144.66875318726,9347.95361152431
