"date","load"
2011-01-01,4977.48589469004
2011-01-02,4453.90301585241
2011-01-03,3949.86950793294
2011-01-04,3940.66387940589
2011-01-05,3165.68003207666
2011-01-06,2878.27031411695
2011-01-07,2940.482130952
2011-01-08,2754.78577422859
2011-01-09,3478.97932675056
2011-01-10,3424.92407245194
2011-01-11,3232.65648939757
2011-01-12,2924.17989691802
2011-01-13,2815.00659043198
2011-01-14,3140.64627323931
2011-01-15,4905.97964956831
2011-01-16,4778.93607688851
2011-01-17,4636.98857539608
2011-01-18,3456.18549981251
2011-01-19,3794.53795530173
2011-01-20,5071.56362899641
2011-01-21,6010.6352120011
2011-01-22,4387.10207618721
2011-01-23,3712.78138090198
2011-01-24,4504.80440805027
2011-01-25,4017.01728216666
2011-01-26,5444.65737232529
2011-01-27,4751.31613812295
2011-01-28,4340.77860592919
2011-01-29,3713.18181730925
2011-01-30,4817.91134780138
2011-01-31,4747.72142456081
2011-02-01,5022.21964052708
2011-02-02,4035.54145113639
2011-02-03,3804.96878972018
2011-02-04,4638.11104487382
2011-02-05,4932.06106090777
2011-02-06,4183.87742086968
2011-02-07,4390.92965451935
2011-02-08,3912.54770949393
2011-02-09,2918.40594777188
2011-02-10,3067.74004581209
2011-02-11,4699.16124857427
2011-02-12,4463.25552224824
2011-02-13,2879.77865195808
2011-02-14,3607.7495413938
2011-02-15,3363.63983332627
2011-02-16,3497.32496356312
2011-02-17,3963.89286754436
2011-02-18,4661.01552417326
2011-02-19,4842.44685507478
2011-02-20,3970.84490835474
2011-02-21,3884.94373570373
2011-02-22,3673.62098480057
2011-02-23,3654.26828096412
2011-02-24,4115.65306800907
2011-02-25,4154.15842094689
2011-02-26,4512.46178316881
2011-02-27,4161.11200837458
2011-02-28,3673.69549512566
