"date","load"
2011-01-01,6263.72075899754
2011-01-02,6454.7538626346
2011-01-03,6686.39589402715
2011-01-04,6161.27367260387
2011-01-05,5363.03920556506
2011-01-06,5577.81790491702
2011-01-07,4919.09646284077
2011-01-08,5553.02613103145
2011-01-09,5930.27685777925
2011-01-10,6057.36116047118
2011-01-11,5623.80945707789
2011-01-12,5350.79987126419
2011-01-13,5747.15048014869
2011-01-14,5990.90373588949
2011-01-15,6324.73972469869
2011-01-16,6530.84487958693
2011-01-17,6730.81740366746
2011-01-18,6491.50723551544
2011-01-19,6246.92899305239
2011-01-20,6907.6621186871
2011-01-21,6331.86765868756
2011-01-22,6315.70635973381
2011-01-23,6133.96322936924
2011-01-24,6288.01590351679
2011-01-25,6752.03944491262
2011-01-26,6241.22083666655
2011-01-27,6431.58145531806
2011-01-28,5677.04655692109
2011-01-29,5947.93225612092
2011-01-30,6706.63679176982
2011-01-31,6939.2088475266
2011-02-01,6371.81178824516
2011-02-02,5680.33596144671
2011-02-03,5773.48696876273
2011-02-04,5791.88927914963
2011-02-05,6682.31149622114
2011-02-06,6015.72962004384
2011-02-07,6411.39555938776
2011-02-08,6136.02833996239
2011-02-09,5672.22090670444
2011-02-10,6169.85980211663
2011-02-11,5415.44142204952
2011-02-12,5522.48527471153
2011-02-13,5856.12926006829
2011-02-14,6204.02414748496
2011-02-15,6019.63968739543
2011-02-16,5723.11806341346
2011-02-17,5960.82060377423
2011-02-18,5889.70433046708
2011-02-19,5805.29071046851
2011-02-20,5829.90717882444
2011-02-21,5899.86380986517
2011-02-22,5715.1210643753
2011-02-23,5707.35390637061
2011-02-24,5957.88831740737
2011-02-25,5410.28755172556
2011-02-26,6081.38457504381
2011-02-27,5778.94923328435
2011-02-28,5948.64478061242
