"date","rh_ws1","rh_ws2","rh_ws3","rh_ws4","rh_ws5","rh_ws6","rh_ws7","rh_ws8","rh_ws9","rh_ws10","rh_ws11","rh_ws12","rh_ws13","rh_ws14","rh_ws15","rh_ws16","rh_ws17","rh_ws18","rh_ws19","rh_ws20","rh_ws21","rh_ws22","rh_ws23","rh_ws24","rh_ws25","rh_ws26","rh_ws27","rh_ws28"
2005-01-01,75.9166666666667,84.9583333333333,74.9166666666667,75.9583333333333,75.25,88.4166666666667,79.4583333333333,75.9583333333333,62.0833333333333,71,75.5833333333333,83.0833333333333,68.2083333333333,72.2916666666667,74.9583333333333,79.125,74.9166666666667,79.125,77.4166666666667,86.3333333333333,73.0833333333333,66.7083333333333,80.4583333333333,87.2083333333333,70.7916666666667,76.5,74.5,83.6666666666667
2005-01-02,75.75,86.25,80.9166666666667,78.5833333333333,74.5833333333333,93.8333333333333,81.75,76.4583333333333,77.0833333333333,81.5833333333333,80.5833333333333,88.0416666666667,68.2916666666667,78.3333333333333,80.8333333333333,79.6666666666667,81.5833333333333,79.3333333333333,77.8333333333333,87.0416666666667,80.7916666666667,67.0416666666667,84.4166666666667,95.5416666666667,70.6666666666667,81.75,79.9583333333333,84.9166666666667
2005-01-03,76.5,85.25,82.25,81.625,75.4166666666667,92.4166666666667,80.375,77.6666666666667,73.9166666666667,83.1666666666667,82.875,87.125,68.625,79.5416666666667,78.7083333333333,91,80.25,83.4583333333333,76.5,95.375,79.2916666666667,72.4166666666667,85.3333333333333,86.5416666666667,71.875,81.625,80.5833333333333,84.7083333333333
2005-01-04,76.2916666666667,77.2083333333333,76.1666666666667,71.9583333333333,73.9583333333333,81.625,72.2083333333333,72.9166666666667,74.9583333333333,70.2083333333333,72.9166666666667,79.625,68,70.8333333333333,70.5,91.5416666666667,70.7083333333333,76.7916666666667,66.9166666666667,90.625,74.9166666666667,68.5,79.25,80.9166666666667,63.7083333333333,73.5416666666667,72.75,76.0416666666667
2005-01-05,71.125,78.0833333333333,80.2083333333333,70.5,73.2916666666667,87.0833333333333,74.3333333333333,73.5,70.5416666666667,76.7916666666667,75.0833333333333,79.3333333333333,67.0416666666667,73.25,74.5,87.125,72.375,75.5416666666667,65.4583333333333,88.0416666666667,73.4166666666667,70.1666666666667,76.7083333333333,94.9583333333333,70.375,77.375,75.375,78.2916666666667
2005-01-06,79,76.0833333333333,81.625,82.125,68.2916666666667,88.4166666666667,72.875,69.9583333333333,71.875,73.8333333333333,87,92.6666666666667,67.3333333333333,84.2916666666667,78.7916666666667,88.5833333333333,76.2083333333333,71.7083333333333,80.375,90.2083333333333,85.2916666666667,69.5,71.7083333333333,82.5416666666667,65,76.9583333333333,76.8333333333333,74.6666666666667
2005-01-07,63.75,69.2916666666667,73.3333333333333,73.125,74.2083333333333,80.5833333333333,73.9583333333333,71.1666666666667,64.4166666666667,71.2083333333333,69.375,77.7916666666667,67.125,80.625,58.6666666666667,81.4583333333333,66.5416666666667,80.7083333333333,78.0833333333333,84.4166666666667,77.0833333333333,53.6666666666667,76.5,77.2916666666667,62.2083333333333,73.125,63.5416666666667,63.4166666666667
2005-01-08,79.8333333333333,87.8333333333333,82.5833333333333,79.8333333333333,78.9583333333333,86.9166666666667,78.5833333333333,80.5416666666667,76.75,80.4166666666667,85,89.3333333333333,67.6666666666667,85.4166666666667,82.0416666666667,89.0833333333333,83.9583333333333,84.625,81.4166666666667,94.4583333333333,75.9166666666667,66.375,82.9583333333333,89.6666666666667,71.7916666666667,81.9583333333333,83.125,83.4583333333333
2005-01-09,61.5833333333333,79,81.5,73.0416666666667,69.9166666666667,83.7916666666667,69.6666666666667,72.2916666666667,74.4583333333333,68.25,73.4583333333333,77.5416666666667,67.5833333333333,68.75,77.4583333333333,75.4583333333333,71.625,76.0416666666667,67.75,79,70.75,64.5416666666667,71.1666666666667,87.375,60.5,72.5416666666667,68.4166666666667,72.8333333333333
2005-01-10,77.9166666666667,88.9166666666667,76.5833333333333,77.6666666666667,80.2083333333333,95.1666666666667,79.6666666666667,77.0833333333333,64.5833333333333,80.5,77.7083333333333,81.1666666666667,68.875,74,81.5416666666667,92.375,87.8333333333333,83.5833333333333,80,98.0416666666667,73.25,61.625,86.875,90.1666666666667,76.875,82.2083333333333,86.7916666666667,90.8333333333333
