"date","load"
2011-01-01,5409.55838789468
2011-01-02,5010.50307493158
2011-01-03,4639.37701366284
2011-01-04,4529.40815719257
2011-01-05,4489.76536138086
2011-01-06,4516.5385761204
2011-01-07,4388.50932803431
2011-01-08,4425.13938865501
2011-01-09,4206.25453467195
2011-01-10,3992.5912347096
2011-01-11,3920.16575132299
2011-01-12,3944.0109786673
2011-01-13,4161.12713552381
2011-01-14,4157.69332004876
2011-01-15,4218.85084097987
2011-01-16,4154.09745503736
2011-01-17,4093.65867995253
2011-01-18,4201.95008661
2011-01-19,4307.67731930208
2011-01-20,4429.87613653796
2011-01-21,4480.95191276254
2011-01-22,4550.46845577211
2011-01-23,4521.21617794768
2011-01-24,4381.6815585248
2011-01-25,4462.4190743034
2011-01-26,4421.75786389986
2011-01-27,4557.00401487213
2011-01-28,4570.20852707504
2011-01-29,4636.87293558928
2011-01-30,4518.40440944135
2011-01-31,4404.04582736189
2011-02-01,4334.33172649149
2011-02-02,4317.41830329345
2011-02-03,4435.23234728037
2011-02-04,4378.63909441462
2011-02-05,4469.82396143837
2011-02-06,4572.02781295021
2011-02-07,4460.10533499185
2011-02-08,4359.65598201187
2011-02-09,4314.71568354019
2011-02-10,4368.80131126895
2011-02-11,4248.5736537885
2011-02-12,4299.28580461045
2011-02-13,4356.15079215095
2011-02-14,4312.815723298
2011-02-15,4093.93173074331
2011-02-16,4072.38052908408
2011-02-17,4138.96829155766
2011-02-18,4024.1420968278
2011-02-19,4144.39420367773
2011-02-20,4354.96921233802
2011-02-21,4234.27910107021
2011-02-22,3972.44299740311
2011-02-23,3767.24437529947
2011-02-24,3801.09722178242
2011-02-25,3727.34395736708
2011-02-26,3857.51166493562
2011-02-27,4084.57806072362
2011-02-28,4032.95082585301
